n,p_positive,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
20,0.4,0.15,50,27.8,49.04,29.28,29.22,0.5962694452393974,0.4037305547606026,0.7785013171419718,0.8304818491163221,1.2521162726392614,1.2529396844925065,329.66,131.76,0.6016126351497998,10.52,0.06,0.62
20,0.4,0.25,50,47.34,49.04,15.36,14.92,0.31241849486859846,0.6875815051314016,0.7785013171419718,0.9116608605317971,1.2521162726392614,1.2311530762838812,329.66,46.86,0.8588131711431598,6.92,0.38,0.76
20,0.4,0.40,50,76.34,49.04,0.0,0.0,0.0,1.0,0.7785013171419718,,1.2521162726392614,,329.66,0.0,1.0,0.0,0.0,0.0
20,0.5,0.05,50,9.2,59.22,53.06,53.06,0.8959225558694699,0.10407744413053005,0.8048954434472873,0.8119246926444297,1.2090966324714523,1.2330403680022985,429.82,350.74,0.18434340438547117,5.82,0.0,0.34
20,0.5,0.15,50,27.8,59.22,40.92,40.92,0.6903746139376394,0.3096253860623606,0.8048954434472873,0.8267078606095188,1.2090966324714523,1.2433668437022358,429.82,214.88,0.500796005207444,25.78,0.0,0.52
20,0.5,0.25,50,47.34,59.22,27.9,27.56,0.47061953666668593,0.529380463333314,0.8048954434472873,0.859620676218659,1.2090966324714523,1.2615497792538235,429.82,108.84,0.7471345969782351,29.4,0.32,0.72
20,0.5,0.40,50,76.34,59.22,8.1,7.48,0.13610623568453886,0.8638937643154612,0.8048954434472873,0.9634640174640176,1.2090966324714523,1.2428352203352204,429.82,16.52,0.9616020488444031,4.78,0.46,0.68
20,0.6,0.05,50,9.2,63.4,59.62,59.62,0.9408119871989646,0.0591880128010354,0.8952158252501998,0.876280293508537,1.1827606030398068,1.2045716040346275,492.84,417.62,0.15259592172507805,8.84,0.0,0.36
20,0.6,0.15,50,27.8,63.4,50.14,50.14,0.791751455574195,0.20824854442580498,0.8952158252501998,0.8555447127356063,1.1827606030398068,1.234567068543661,492.84,280.88,0.43007659068921394,45.24,0.0,0.48
20,0.6,0.25,50,47.34,63.4,38.74,38.64,0.6118507134559702,0.3881492865440298,0.8952158252501998,0.8560145380189842,1.1827606030398068,1.2642541811981869,492.84,168.42,0.6583418961033539,63.56,0.1,0.72
20,0.6,0.40,50,76.34,63.4,19.46,18.34,0.3078173659723587,0.6921826340276412,0.8952158252501998,0.9129690235181604,1.1827606030398068,1.3005318771590006,492.84,52.54,0.8933537103648646,30.3,0.78,0.96
